current_queue_length,average_consultation_minutes,time_of_day,day_of_week,emergency_patients_ahead,actual_wait_minutes
6,15.6,13:01,Monday,0,157.8
3,6.1,14:25,Monday,1,39.7
6,10.7,12:00,Thursday,0,79.4
8,13.2,14:56,Tuesday,0,138.8
1,15.2,11:25,Tuesday,2,47.0
6,14.3,14:13,Thursday,0,107.3
2,14.0,15:39,Wednesday,0,35.2
7,15.2,17:33,Friday,0,115.9
3,13.4,14:23,Wednesday,1,53.3
0,5.6,11:30,Tuesday,0,4.7
6,16.3,15:12,Friday,0,128.4
4,9.5,16:02,Sunday,1,55.9
4,12.9,12:08,Saturday,0,60.3
4,12.5,11:37,Tuesday,0,74.8
1,12.1,09:31,Thursday,0,17.2
7,8.7,14:46,Tuesday,0,71.0
1,6.2,12:26,Monday,1,16.2
4,9.0,09:19,Tuesday,1,49.9
5,14.5,13:36,Saturday,1,79.3
1,7.7,17:53,Sunday,1,18.4
8,9.4,08:30,Friday,1,96.2
3,13.3,13:09,Sunday,0,42.5
5,8.9,17:21,Wednesday,1,47.5
4,10.4,17:35,Monday,0,56.5
1,12.2,11:25,Sunday,0,10.7
3,12.8,09:42,Saturday,0,44.6
5,8.9,12:12,Friday,1,63.8
2,12.4,11:11,Monday,0,39.5
3,13.2,12:49,Sunday,0,45.2
5,8.2,13:57,Monday,0,55.4
1,12.6,15:40,Monday,0,21.2
4,9.9,14:20,Monday,1,77.9
5,12.4,16:55,Sunday,0,59.3
2,14.2,15:21,Saturday,0,24.3
6,11.5,13:11,Monday,0,107.2
4,14.7,09:11,Wednesday,0,66.1
10,14.4,16:02,Thursday,0,166.3
3,14.7,15:08,Thursday,0,53.2
3,13.2,11:21,Tuesday,1,67.2
4,15.3,10:19,Monday,1,92.8
4,13.2,14:34,Monday,0,61.7
3,7.0,08:50,Sunday,0,13.0
6,9.6,15:52,Friday,0,72.8
1,11.4,10:16,Sunday,1,12.9
6,11.7,13:56,Sunday,0,77.4
2,13.1,11:02,Tuesday,0,35.0
2,9.6,12:46,Monday,0,26.6
7,18.0,16:00,Friday,0,172.0
3,11.7,10:52,Tuesday,0,42.6
6,12.0,08:19,Friday,0,85.6
4,10.0,08:46,Sunday,0,23.2
3,9.0,08:44,Sunday,0,14.5
4,11.6,12:35,Tuesday,0,59.3
3,12.1,08:49,Thursday,0,42.0
1,11.7,12:07,Friday,0,18.1
1,17.0,14:58,Tuesday,1,41.9
3,11.6,16:47,Thursday,0,40.1
4,11.7,10:12,Wednesday,0,60.1
2,14.4,16:46,Friday,0,33.2
2,11.5,17:46,Friday,0,27.8
3,13.6,14:15,Sunday,0,33.2
2,8.2,15:22,Thursday,0,14.3
8,8.2,12:49,Wednesday,2,95.7
5,12.4,08:44,Monday,0,84.8
3,11.3,17:35,Friday,1,46.3
3,9.6,17:27,Saturday,1,39.0
6,12.4,11:13,Wednesday,1,91.4
7,12.6,09:57,Sunday,0,73.6
4,9.9,08:39,Thursday,0,44.4
3,10.4,12:58,Thursday,0,36.0
8,12.6,17:14,Monday,0,119.5
4,8.9,08:24,Thursday,0,24.5
6,10.2,14:06,Friday,0,86.9
1,13.6,16:21,Thursday,4,75.9
7,11.9,11:47,Thursday,1,103.9
2,10.6,14:07,Thursday,0,31.9
4,9.3,12:26,Friday,1,55.3
8,9.0,08:39,Monday,0,84.1
5,11.6,13:02,Thursday,0,64.2
5,18.1,08:53,Thursday,0,114.2
6,13.7,14:50,Wednesday,0,116.8
4,8.0,11:06,Thursday,1,56.2
2,14.1,16:01,Friday,0,39.7
4,9.7,13:52,Sunday,0,35.1
1,12.0,17:21,Tuesday,0,18.7
3,10.2,15:22,Monday,0,40.9
6,18.1,15:14,Wednesday,0,103.8
1,8.6,11:02,Wednesday,0,9.1
5,12.9,12:25,Monday,1,115.0
5,9.9,15:27,Thursday,2,75.3
2,14.2,15:13,Thursday,1,51.7
3,12.9,14:55,Saturday,0,42.6
6,15.8,08:04,Friday,0,111.6
6,14.2,08:10,Thursday,0,99.1
3,9.9,08:40,Friday,0,33.2
2,20.7,08:18,Wednesday,0,40.0
5,13.7,15:43,Tuesday,1,82.2
2,10.3,13:28,Thursday,0,25.5
4,12.6,13:02,Thursday,0,59.0
6,13.9,08:51,Wednesday,0,89.9
7,13.8,15:44,Sunday,0,59.9
4,13.5,08:55,Thursday,1,58.8
2,14.9,10:13,Thursday,1,55.4
2,14.6,16:11,Friday,0,27.9
2,9.5,14:55,Wednesday,0,22.2
5,18.3,08:55,Thursday,0,89.3
7,17.9,08:44,Sunday,0,92.6
1,14.4,12:03,Friday,0,19.0
2,12.1,14:02,Saturday,0,25.6
6,12.2,10:28,Monday,0,104.6
2,11.0,13:51,Saturday,0,19.6
4,11.4,11:35,Friday,1,65.8
2,5.4,13:53,Sunday,0,14.2
4,16.6,15:15,Sunday,0,60.9
6,15.5,16:25,Monday,0,126.2
6,7.0,09:57,Thursday,1,52.4
7,14.7,08:51,Sunday,0,97.1
4,12.0,09:11,Saturday,0,27.4
1,11.4,09:39,Monday,0,18.3
4,13.5,11:14,Thursday,0,61.6
8,6.8,08:17,Wednesday,0,48.0
6,12.0,16:19,Friday,1,86.5
7,12.2,16:29,Thursday,0,93.2
2,12.2,15:07,Wednesday,0,28.8
5,7.9,11:33,Wednesday,0,49.1
4,13.3,15:04,Sunday,0,41.6
1,15.2,13:44,Wednesday,1,41.7
7,13.2,14:37,Tuesday,0,110.9
3,11.3,08:52,Monday,2,66.5
2,20.1,16:44,Tuesday,1,68.4
5,9.2,11:29,Monday,1,83.2
4,14.3,10:41,Monday,0,77.8
2,12.7,11:54,Thursday,1,44.0
6,18.0,10:28,Thursday,1,142.3
7,13.2,17:56,Saturday,0,100.2
2,13.8,14:27,Friday,0,39.8
0,13.5,16:57,Tuesday,0,1.1
6,8.8,17:30,Friday,0,61.3
4,9.4,13:48,Thursday,0,59.7
5,11.2,16:00,Tuesday,0,71.4
3,14.9,17:03,Friday,0,52.8
10,12.7,09:30,Friday,0,146.4
5,11.4,10:41,Wednesday,0,70.5
2,16.1,12:00,Tuesday,0,27.1
1,6.1,14:13,Monday,1,20.2
2,8.1,15:40,Saturday,0,12.3
1,5.0,11:27,Tuesday,0,4.2
2,15.6,16:25,Tuesday,0,30.5
3,11.7,14:32,Friday,0,41.1
1,14.9,11:43,Wednesday,0,17.3
2,11.7,14:48,Saturday,2,54.2
6,15.1,16:31,Wednesday,0,119.3
4,11.6,11:21,Sunday,0,58.7
2,13.2,11:52,Wednesday,0,33.0
3,12.8,14:55,Monday,0,51.9
2,13.0,12:17,Saturday,0,30.5
1,17.1,09:46,Friday,0,17.9
2,7.1,16:32,Sunday,1,16.1
3,11.8,10:00,Monday,0,44.9
5,12.6,10:27,Thursday,0,73.7
8,12.1,16:40,Friday,1,94.4
3,10.8,14:25,Wednesday,2,74.8
1,10.4,12:18,Tuesday,0,14.3
1,16.6,11:49,Wednesday,0,22.8
6,11.8,09:49,Monday,0,76.3
2,19.3,08:40,Friday,0,40.3
2,13.6,17:05,Saturday,1,33.7
0,11.1,08:26,Thursday,0,0.0
